Country,"ISO Alpha-2 Code

(for Method A)","Required Hashtag

(for Method B)"
Somalia,SO,#GFNS-SO
Haiti,HT,#GFNS-HT
Yemen,YE,#GFNS-YE
Afghanistan,AF,#GFNS-AF
Burkina Faso,BF,#GFNS-BF
Cameroon,CM,#GFNS-CM
Central African Republic,CF,#GFNS-CF
Chad,TD,#GFNS-TD
Colombia,CO,#GFNS-CO
DR Congo,CD,#GFNS-CD
Mali,ML,#GFNS-ML
Mozambique,MZ,#GFNS-MZ
Myanmar,MM,#GFNS-MM
Niger,NE,#GFNS-NE
Nigeria,NG,#GFNS-NG
Pakistan,PK,#GFNS-PK
South Sudan,SS,#GFNS-SS
Sudan,SD,#GFNS-SD
Syria,SY,#GFNS-SY
Venezuela,VE,#GFNS-VE
